TrialID,Date registration3
IRCT2015100824428N1,20160401
NCT02741765,20160331
NCT02734485,20160331
NCT02704793,20160305
NL-OMON41514,20150810
NCT02504905,20150721
NCT02542839,20150623
JPRN-UMIN000017888,20150612
NCT02518867,20150210
NCT02356003,20150131
NCT02265900,20141011
NCT02265315,20141009
NCT02249715,20140923
NCT02236832,20140828
JPRN-UMIN000014287,20140618
NCT02177617,20140613
ChiCTR-TRC-14004706,20140526
NL-OMON39613,20140224
ChiCTR-TRC-13004033,20131216
NCT01980433,20131024
NL-OMON39420,20130909
NCT02057276,20130605
JPRN-UMIN000010539,20130501
NCT01823237,20130319
JPRN-UMIN000010062,20130228
NCT01792336,20130213
ACTRN12612001182886,20121107
ACTRN12612001173886,20121106
NCT01738581,20120918
NCT01671527,20120820
NCT01884064,20120620
ACTRN12612000119897,20120124
NL-OMON34399,20110121
NCT01272154,20110105
NCT01258790,20101210
NCT01189058,20100820
NCT01174771,20100728
ACTRN12610000275066,20100406
NCT01043549,20100104
NCT01019343,20091124
NCT00977184,20090912
NCT00965211,20090824
NCT00878787,20090320
JPRN-UMIN000001576,20081217
NCT00753519,20080913
NCT00529308,20070913
NCT00411255,20061212
NCT00063284,20030624
NCT00050024,20021119
NCT00029666,20020117
NCT00029276,20020109
NCT00023062,20010822
NCT00017875,20010615
NCT00001663,19991103
NCT00001665,19991103
NCT06232629,20231226
NCT06090292,20231013
NCT06032585,20230904
NCT05965960,20230607
ChiCTR2200066454,20221206
NCT05475340,20220721
DRKS00025979,20220107
JPRN-jRCTs032210506,20211222
NCT05008094,20210804
NCT04970745,20210627
NCT04250376,20200129
NCT04074031,20190729
NCT03981055,20190128
JPRN-jRCTs032180081,20190115
NCT04002596,20190107
JPRN-UMIN000033940,20180901
NCT03100474,20170329
ChiCTR-DDD-17010794,20170305
JPRN-UMIN000023639,20170101
NCT02289560,20141110
NCT02252380,20140926
NCT02037217,20140114
NCT01932463,20130822
JPRN-UMIN000010714,20130601
NCT01827904,20130327
JPRN-UMIN000009613,20121227
NCT01772693,20121128
NCT01304758,20110211
RBR-6xtvg5w,20240108
JPRN-UMIN000052862,20231122
NCT05950347,20230710
JPRN-UMIN000051488,20230630
NCT05871151,20230512
NCT05967598,20230405
NCT05806736,20230227
ChiCTR2300067988,20230202
NCT05683925,20221219
NCT05561348,20220922
NCT05456451,20220711
NCT04157621,20190909
